"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"tutorial_status_hydration","Hydration indicator","Hydration indicator","Ukazatel hydratace","Durstanzeige","Индикатор жажды","Wskaźnik nawodnienia","Hydration indicator","Indicatore idratazione","Indicador de hidratación","Indicateur d'hydratation","脫水量表","水分インジケータ","Indicador de hidratação","水合指示器",
"tutorial_status_strongRaising","Strong raising tendency","Strong raising tendency","Silná vzrůstající tendence","Stark steigende Tendenz","Сильно растет","Silna tendencja wzrostowa","Strong raising tendency","Tendenza in forte ascesa","Indicador de aumento rápido","Augmentation importante","大幅上升","強い上昇傾向","Forte tendência de alta","强上升趋势",
"tutorial_status_raising","Raising tendency","Raising tendency","Vzrůstající tendence","Steigende Tendenz","Растет","Tendencja wzrostowa","Raising tendency","Tendenza in ascesa","Indicador de aumento","Augmentation","上升","上昇傾向","Tendência de alta","上升趋势",
"tutorial_status_food","Calories indicator","Calories indicator","Ukazatel kalorií","Hungeranzeige","Индикатор калорий","Wskaźnik kalorii","Calories indicator","Indicatore calorie","Indicador de calorías","Indicateur de calories","熱量量表","カロリーインジケータ","Indicador de calorias","卡路里指示器",
"tutorial_status_strongDecrease","Very strong decreasing tendency","Very strong decreasing tendency","Silná klesající tendence","Stark sinkende Tendenz","Быстро уменьшается","Bardzo silna tendencja spadkowa","Very strong decreasing tendency","Tendenza in forte calo","Indicador de reducción rápida","Diminution importante","大幅下降","かなり強い減少傾向","Forte tendência de baixa","极强下降趋势",
"tutorial_infected1","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.","Infikovaní jsou agresivní a zaútočí hned, jak si tě všimnou. Jeden představuje problém, skupinka rozsudek smrti. ","Infizierte sind bösartig und greifen dich sofort an. Ein Einzelner kann ein Problem, mehrere dein Todesurteil sein.","Зараженные очень агрессивны и сразу же набросятся на вас, как только увидят. Один зараженный – проблема, несколько – смертный приговор. ","Zarażeni są brutalni i zaatakują cię natychmiast po odkryciu. Stanowią problem w pojedynkę, a w grupie oznaczają pewną śmierć.","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.","Gli infetti sono aggressivi e sferreranno un attacco non appena ti vedranno. Se uno di loro rappresenta un problema, un gruppo è una condanna a morte. ","Los infectados son muy violentos y te atacarán nada más verte. Uno puede ser un problema, pero varios son una sentencia de muerte. ","Très agressifs, les infectés vous attaquent dès qu'ils vous voient. Un infecté, c'est un problème. Plusieurs, c'est la mort assurée. ","被感染者攻勢凌厲、一看到人就會攻擊。一個感染者就不好對付，碰上一群可說是被宣判死刑。","感染者は凶暴で、見つかった途端に襲ってくる。1 人でも苦戦するので、囲まれたら死の宣告も同然だ。","Os infectados são cruéis e ferozes. Um já é problema, vários são uma sentença de morte.","感染者十分恶毒，一看到你就会发动攻击。一个就很难对付，遇到多个你就死定了。",
"tutorial_infected2","Infected are best approached with stealth or one at a time. Don't get overwhelmed.","Infected are best approached with stealth or one at a time. Don't get overwhelmed.","K infikovaným se nejlépe přibližuj nepozorovaně a k jednomu po druhém. Nenech se jimi přečíslit.","Infizierten nähert man sich am besten lautlos, oder man versucht, sie einzeln auszuschalten. Lass dich nicht überwältigen.","Действуйте скрытно или расправляйтесь с ними поодиночке. Не дайте им накинуться на вас толпой.","Zarażonych najlepiej eliminować z ukrycia bądź pojedynczo. Nie daj się otoczyć.","Infected are best approached with stealth or one at a time. Don't get overwhelmed.","La strategia migliore è affrontare gli infetti uno alla volta o adottare un approccio furtivo. Non farti sopraffare.","La mejor opción es acercarse a los infectados sigilosamente o enfrentarse a ellos uno a uno. ¡Que no te superen en número!","Attaquez un seul infecté à la fois, en restant discret. Ne vous laissez pas submerger.","最好以潛行接近感染者，或者一個個解決。別被包圍了。","感染者は忍び寄るか 1 人ずつ片付けるのが最善。囲まれないように気を付けよう。","É melhor lidar com os infectados furtivamente ou um de cada vez. Não se deixe subjugar.","最好在暗中接近感染者，或者一次对付一个。否则将不堪重负。",
"tutorial_inventory1","The vicinity corresponds to your surroundings. You can find loot here, but also more complex objects which may require crafting or additional components.","The vicinity corresponds to your surroundings. You can find loot here, but also more complex objects which may require crafting or additional components.","Okolí představuje prostor okolo tebe. Najdeš tu obyčejné zásoby, ale také pokročilejší předměty, z kterých je potřeba něco vyrobit, nebo do nich musíš najít další součástky.","Hier werden die Gegenstände in deiner Umgebung angezeigt. Diese können einfache Beute oder komplexere Objekte sein, die möglicherweise weiterverarbeitet oder durch andere Komponenten erweitert werden müssen.","Вы можете подбирать различные вещи, которые находятся поблизости. Кроме того, вы можете найти более сложные предметы, для которых могут потребоваться дополнительные компоненты.","Otoczenie to twoja bezpośrednia okolica: łupy i bardziej zaawansowane przedmioty, które mogą wymagać użycia rzemiosła bądź dodatkowych składników.","The vicinity corresponds to your surroundings. You can find loot here, but also more complex objects which may require crafting or additional components.","Per prossimità s’intendono i tuoi dintorni. Qui potrai trovare bottino, ma anche oggetti più complessi che potrebbero dover essere lavorati o richiedere l’utilizzo di componenti supplementari.","Los alrededores son la zona circundante al personaje, donde encontrarás botines, pero también objetos más complejos que podrían requerir fabricación o componentes adicionales.","""À proximité"" correspond à votre environnement direct. Vous pouvez y voir l’équipement récupérable et des objets complexes nécessitant du bricolage ou des composants supplémentaires.","附近欄中的內容與您周遭環境對應。您可以在這裡尋找戰利品，甚至是較精緻的物品－－需要搭配製作技巧或額外零件的那些物品。","周囲は自分の近辺のこと。戦利品はここで見つけられるが、クラフティング／追加コンポーネントが必要な複雑なオブジェクトもある。","O arredor corresponde ao seu entorno. Você pode encontrar espólios aqui, mas também objetos mais complexos que podem exigir criação ou componentes adicionais.","附近是指你的周围环境。你可以在这里找到战利品，但也能找到更复杂的物品，即可能需要手工制作或添加其他部件的物品。",
"tutorial_inventory2","Manual skills meter focused on precision or strength.","Manual skills meter focused on precision or strength.","Ukazatel manuální zručnosti se týká přesnosti nebo síly.","Die Fertigkeitsleiste repräsentiert deine Präzision oder Stärke.","Отражает сосредоточенность игрока на точности или силе.","Wskaźnik umiejętności manualnych sygnalizujący precyzję lub siłę.","Manual skills meter focused on precision or strength.","Il livello delle abilità manuali è caratterizzato da due estremi: quello della precisione e quello della forza.","El medidor de habilidades manuales se centra en la precisión o en la fuerza.","La barre de capacité manuelle indique la précision ou la force.","手動技能量表，著重在精準度和力道上。","精度または力にフォーカスした手動スキルゲージ。","Medidor de habilidades manuais com foco em força ou precisão.","人工技能量计，专用于指示精度或力量。",
"tutorial_status_decrease","Decreasing tendency","Decreasing tendency","Klesající tendence","Sinkende Tendenz","Уменьшается","Tendencja spadkowa","Decreasing tendency","Tendenza in calo","Indicador de reducción","Diminution","下降","減少傾向","Tendência de baixa","下降趋势",
"tutorial_inventory3","Stamina meter indicating how far you can sprint. The more weight you carry, the less stamina you have.","Stamina meter indicating how far you can sprint. The more weight you carry, the less stamina you have.","Ukazatel výdrže udává, jak daleko dosprintuješ. Čím větší neseš tíhu, tím máš menší výdrž.","Die Ausdauerleiste zeigt an, wie lange du rennen kannst. Je mehr Gewicht du mit dir herumträgst, desto weniger Ausdauer hast du.","Шкала выносливости показывает, как долго вы можете бежать. Чем больше у вас вещей, тем меньше ваша выносливость.","Wskaźnik wytrzymałości sygnalizuje, jak daleko możesz pobiec. Im większe obciążenie postaci, tym mniejszą ma wytrzymałość.","Stamina meter indicating how far you can sprint. The more weight you carry, the less stamina you have.","Il livello della resistenza indica quanto lontano riesci a scattare. Più peso trasporterai, meno sarà la resistenza su cui puoi fare affidamento.","El medidor de energía te indica durante cuánto tiempo puedes correr. Cuanto más peso transportes, menos energía tendrás.","La barre d’endurance indique combien de temps vous pouvez sprinter. Plus vous portez de poids, moins vous avez d’endurance.","耐力量表，代表人物能快跑多遠。攜帶的重量越重，人物的耐力越低。","どれくらい遠くまでダッシュできるかを示すスタミナゲージ。重い物を運んでいるほど、スタミナが少なくなる。","Medidor de resistência que indica até onde você aguenta correr. Quanto mais peso carregar, menor será sua resistência.","体力量计，指示你可以快跑多远。携带的重物越多，体力就越小。",
"tutorial_inventory4","If you want to use, combine or consume an item, always put it in your hands first.","If you want to use, combine or consume an item, always put it in your hands first.","Pokud chceš nějaký předmět použít, zkombinovat nebo sníst, vždycky ho nejdřív musíš vzít do rukou.","Wenn du einen Gegenstand benutzen, kombinieren oder konsumieren möchtest, musst du ihn zunächst in die Hand nehmen.","Чтобы использовать какой-либо предмет, его сначала нужно взять в руки.","Jeśli chcesz użyć przedmiotu, połączyć go lub skonsumować, umieść go najpierw w rękach.","If you want to use, combine or consume an item, always put it in your hands first.","Se desideri utilizzare, combinare o consumare un oggetto, assicurati di averlo innanzitutto in mano.","Para poder usar, combinar o consumir un objeto, tendrás que tenerlo en las manos.","Pour utiliser, combiner ou consommer un objet, n’oubliez pas de le prendre en main.","若想要使用、組合或食用物品，必須先把東西拿在手上。","アイテムを使用、合成、消費したい場合は、まず手に持つ必要がある。","Se quiser usar, combinar ou consumir um item, coloque-o em suas mãos primeiro.","如果你想使用、组合或消耗某个物品，务必先将其放入自己的手里。",
"tutorial_inventory5","Almost all clothes and other gear have cargo capacity which can be used to carry other items.","Almost all clothes and other gear have cargo capacity which can be used to carry other items.","Skoro veškeré oblečení a další výstroj má určitou nosnost a můžeš v nich přenášet věci.","Fast alle Kleidungsobjekte und Ausrüstungsgegenstände haben eine Tragekapazität für andere Gegenstände.","Почти вся одежда и снаряжение имеют карманы, куда вы можете положить другие предметы.","Większość odzieży i wyposażenia ma swoją pojemność mogącą posłużyć do przenoszenia innych przedmiotów.","Almost all clothes and other gear have cargo capacity which can be used to carry other items.","Quasi tutti i vestiti e gli altri tipi di equipaggiamento possiedono una capacità di carico che consente di trasportare ulteriori oggetti.","Casi todos los elementos de ropa y equipo tienen espacio para transportar otros objetos.","Vêtements et équipements disposent de rangements destinés à transporter vos objets.","大多數的衣服與裝備都有空間裝納其他物品。","ほとんどの服や装備は、アイテムを運ぶのに使うことができる。","Quase todas as roupas e demais equipamentos têm capacidade de carga que pode ser usada para transportar outros itens.","几乎所有衣服和其他装备都有一定的载物容量，可用来携带其他物品。",
"tutorial_title_healthSystem","HEALTH SYSTEM","HEALTH SYSTEM","SYSTÉM ZDRAVÍ","GESUNDHEITSSYSTEM","ЗДОРОВЬЕ","SYSTEM ZDROWIA","HEALTH SYSTEM","SISTEMA SALUTE","SISTEMA DE SALUD","SANTÉ","生命系統","体力システム","SISTEMA DE VIDA","健康系统",
"tutorial_title_melee","MELEE","MELEE","BOJ ZBLÍZKA","NAHKAMPF","ХОЛОДНОЕ","WALKA WRĘCZ","MELEE","ARMI DA MISCHIA","CUERPO A CUERPO","CORPS À CORPS","近戰","近接","CORPO A CORPO","近战",
"tutorial_melee1","Melee weapons are silent and don't need any ammo. Always carry one.","Melee weapons are silent and don't need any ammo. Always carry one.","Zbraně zblízka jsou tiché a nepotřebují střelivo. Vždy u sebe nějakou měj.","Nahkampfwaffen sind lautlos und brauchen keine Munition. Du solltest immer eine dabeihaben.","Холодное оружие бесшумное, и для него не требуются боеприпасы. Всегда имейте его при себе.","Broń biała jest cicha i nie potrzebuje amunicji. Zawsze miej jakąś przy sobie.","Melee weapons are silent and don't need any ammo. Always carry one.","Le armi da mischia non fanno rumore e non necessitano di proiettili. Assicurati di averne sempre una a portata di mano.","Las armas cuerpo a cuerpo son sigilosas y no requieren munición. Lleva siempre una encima.","Emportez toujours une arme de corps à corps : elle est silencieuse et ne nécessite pas de munitions.","近戰武器不會發出聲音，也不消耗彈藥。手邊隨時都要準備一把。","近接武器は音がせず、弾薬も必要としない。必ず 1 つは持っておこう。","Armas brancas são silenciosas e não precisam de munição. Sempre carregue uma com você.","近战武器既不会发出声音，也不需要任何弹药。一定要随身携带一件。",
"tutorial_melee2","Many items can be used as melee weapons, get creative.","Many items can be used as melee weapons, get creative.","Spoustu předmětů je možné použít jako zbraně zblízka. Buď kreativní.","Viele Gegenstände können als Nahkampfwaffen genutzt werden. Sei kreativ!","Много разных предметов можно использовать как холодное оружие. Не бойтесь импровизировать.","Wiele przedmiotów może posłużyć jako broń biała, myśl kreatywnie.","Many items can be used as melee weapons, get creative.","Molti oggetti possono essere utilizzati come armi da mischia. Dai sfogo alla tua creatività.","Muchos objetos se pueden usar como armas cuerpo a cuerpo. ¡Da rienda suelta a tu creatividad!","De nombreux objets peuvent servir d'arme de corps à corps. Soyez créatif !","有不少物品可以用作近戰武器，發揮想像力吧。","アイテムを近接武器にできる。いろいろ考えてみよう。","Muitos itens podem ser usados como armas brancas, use sua criatividade.","很多物品都可以作为近战武器使用，请尽情发挥创意。",
"tutorial_title_infected","INFECTED","INFECTED","INFIKOVANÍ","INFIZIERTE","ЗАРАЖЕННЫЕ","ZARAŻENI","INFECTED","INFETTI","INFECTADOS","INFECTÉS","被感染者","感染者","INFECTADOS","感染者",
"tutorial_title_loot","LOOT","LOOT","ZÁSOBY","BEUTE","ПРЕДМЕТЫ","ŁUP","LOOT","BOTTINO","BOTINES","ÉQUIPEMENT","戰利品","戦利品","ESPÓLIOS","战利品",
"tutorial_title_guns","GUNS","GUNS","ZBRANĚ","WAFFEN","ОГНЕСТРЕЛЬНОЕ","BROŃ PALNA","GUNS","ARMI","ARMAS","ARMES","槍械","銃","ARMAS","枪炮",
"tutorial_melee3","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and hold <image set=""xbox_buttons"" name=""Y"" />.","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and hold <image set=""xbox_buttons"" name=""Y"" />.","Normální úder proveď podržením <image set=""xbox_buttons"" name=""LT"" /> a stisknutím <image set=""xbox_buttons"" name=""RT"" />. Těžký úder proveď podržením <image set=""xbox_buttons"" name=""LT"" /> a podržením <image set=""xbox_buttons"" name=""Y"" />.","Halte <image set=""xbox_buttons"" name=""LT"" /> und drücke <image set=""xbox_buttons"" name=""RT"" /> für einen normalen Schlag. Halte <image set=""xbox_buttons"" name=""LT"" /> gedrückt und halte dann <image set=""xbox_buttons"" name=""Y"" /> für einen harten Schlag.","Чтобы нанести обычный удар, удерживайте <image set=""xbox_buttons"" name=""LT"" /> и нажмите <image set=""xbox_buttons"" name=""RT"" />. Чтобы нанести сильный удар, удерживайте кнопки <image set=""xbox_buttons"" name=""LT"" /> и <image set=""xbox_buttons"" name=""RS"" />.","Aby wyprowadzić zwykłe uderzenie, przytrzymaj <image set=""xbox_buttons"" name=""LT"" /> i wciśnij <image set=""xbox_buttons"" name=""RT"" />. Aby wyprowadzić mocne uderzenie, przytrzymaj <image set=""xbox_buttons"" name=""LT"" /> i przytrzymaj <image set=""xbox_buttons"" name=""Y"" />.","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and hold <image set=""xbox_buttons"" name=""Y"" />.","Per sferrare un colpo normale tieni premuto <image set=""xbox_buttons"" name=""LT"" /> e premi <image set=""xbox_buttons"" name=""RT"" />. Per sferrare un colpo forte tieni premuto <image set=""xbox_buttons"" name=""LT"" /> e tieni premuto <image set=""xbox_buttons"" name=""Y"" />.","Para un golpe normal, mantén <image set=""xbox_buttons"" name=""LT"" /> y luego pulsa <image set=""xbox_buttons"" name=""RT"" />. Para un golpe fuerte, mantén pulsado <image set=""xbox_buttons"" name=""LT"" /> y luego mantén <image set=""xbox_buttons"" name=""Y"" />.","Pour un coup normal, maintenez <image set=""xbox_buttons"" name=""LT"" /> et appuyez sur <image set=""xbox_buttons"" name=""RT"" />. Pour un coup puissant, maintenez <image set=""xbox_buttons"" name=""LT"" /> et maintenez <image set=""xbox_buttons"" name=""Y"" />.","按住 <image set=""xbox_buttons"" name=""LT"" /> 並按 <image set=""xbox_buttons"" name=""RT"" /> 進行一般攻擊。按住 <image set=""xbox_buttons"" name=""LT"" /> 並按住 <image set=""xbox_buttons"" name=""Y"" /> 進行重擊。","通常の打撃をしたい時は <image set=""xbox_buttons"" name=""LT"" /> を長押ししながら <image set=""xbox_buttons"" name=""RT"" /> を押す。強打したい時は <image set=""xbox_buttons"" name=""LT"" /> を長押しし、<image set=""xbox_buttons"" name=""Y"" /> を長押しする。","Para um ataque normal, segure <image set=""xbox_buttons"" name=""LT"" /> e pressione <image set=""xbox_buttons"" name=""RT"" />. Para um ataque forte, segure <image set=""xbox_buttons"" name=""LT"" /> junto com <image set=""xbox_buttons"" name=""Y"" />.","要实施一般击打，请按住 <image set=""xbox_buttons"" name=""LT"" /> 并按下 <image set=""xbox_buttons"" name=""RT"" />。要实施重击，请按住 <image set=""xbox_buttons"" name=""LT"" /> 并按住 <image set=""xbox_buttons"" name=""Y"" />。",
"tutorial_inventory6","All equipped clothes, weapons or other items are listed here.","All equipped clothes, weapons or other items are listed here.","Tady uvidíš všechno oblečení, zbraně a další předměty, které máš momentálně na sobě.","Alle ausgerüsteten Kleidungsobjekte, Waffen oder Gegenstände werden hier aufgeführt.","Здесь вы найдете используемую вами одежду, оружие и прочие предметы.","Tutaj widoczne są ubrania, broń i pozostałe przedmioty, z których korzystasz.","All equipped clothes, weapons or other items are listed here.","Tutti i vestiti, le armi o gli altri oggetti equipaggiati vengono elencati qui.","Aquí verás un listado de todos los elementos de ropa, armas u otros objetos que tengas equipados.","Armes, vêtements et objets équipés sont affichés ici.","此處列出所有已裝備的衣服、武器或其他物品。","装備している服、武器、その他アイテムが全てここに表示される。","Todas as roupas, armas ou demais itens equipados são incluídos aqui.","此处列出了所有装备的衣服、武器或其他物品。",
"tutorial_inventory7","INVENTORY","INVENTORY","INVENTÁŘ","INVENTAR","ИНВЕНТАРЬ","EKWIPUNEK","INVENTORY","INVENTARIO","INVENTARIO","INVENTAIRE","物品欄","インベントリ","INVENTÁRIO","库存",
"tutorial_loot1","Always search every place for valuable loot, it can be the difference between life and death.","Always search every place for valuable loot, it can be the difference between life and death.","Nezbytné zásoby hledej vždy a všude, může ti to zachránit život.","Durchsuche jeden Ort nach wertvoller Beute. Sie kann den Unterschied zwischen Leben und Tod bedeuten.","Тщательно все обыскивайте в поисках ценных предметов. Они могут спасти вам жизнь.","Staraj się przeszukiwać każde miejsce w poszukiwaniu łupu, może ci to uratować życie.","Always search every place for valuable loot, it can be the difference between life and death.","Perlustra sempre ogni angolo alla ricerca di bottino: può davvero fare la differenza nelle situazioni in bilico tra la vita e la morte.","Registra todos los rincones en busca de botines jugosos. ¡Puede ser la diferencia entre la vida y la muerte!","Fouillez les bâtiments à la recherche d'équipement. Cela vous sauvera peut-être la vie.","每到一個地方，記得要搜查有無貴重物品，有些物品會是扭轉生死的關鍵。","貴重な戦利品がないか、常に全ての場所を隈なく調べる。それが生死を分けることもある。","Sempre procure em cada lugar por itens valiosos, pode ser a diferença entre a vida e a morte.","总是到处寻找有价值的战利品，这可能是生与死的区别。",
